#
# No. Freq (Hz)		Measurement	Observed Passband	Measurement	Uncertainty	Units		Uncertainty	Units	Reference Code
#
  105    1.82E+14 	6.13E-02	H (MKO) 		10.51 	+/- 0.04 	mag 	 	+/- 2.30E-03 	Jy 	1983MNRAS.202..397I
  106    1.38E+14 	6.09E-02	K_s_K20 (2MASS) 	10.098 	+/- 0.032 	mag 	 	+/- 1.82E-03 	Jy 	20032MASX.C.......:
  107    1.38E+14 	6.69E-02	K_s_total (2MASS) 	9.996 	+/- 0.029 	mag 	 	+/- 1.81E-03 	Jy 	20032MASX.C.......:
  108    1.38E+14 	4.13E-02	K_s_14arcsec (2MASS) 	10.520 	+/- 0.008 	mag 	 	+/- 3.05E-04 	Jy 	20032MASX.C.......:
  109    1.36E+14 	9.83E-02	K (MKO) 		9.50 	+/- 0.04 	mag 	 	+/- 3.69E-03 	Jy 	1983MNRAS.202..397I
  110    1.36E+14 	6.40E-02	2.2 microns 		0.064 	+/- 0.016 	Jy 	 	+/- 1.60E-02 	Jy 	1975ApJ...198..261U
  111    1.36E+14 	6.37E-02	K (MKO) 		9.97 	+/- 0.04 	mag 	 	+/- 2.39E-03 	Jy 	1983MNRAS.202..397I
  112    1.36E+14 	6.14E-02	K (MKO) 		10.01 	+/- 0.04 	mag 	 	+/- 2.31E-03 	Jy 	1983MNRAS.202..397I
  113    1.36E+14 	3.45E-02	K (UKIRT) 		10.70 	+/- 0.01 	mag 	 	+/- 3.18E-04 	Jy 	1985MNRAS.215...37L
  114    1.35E+14 	3.13E-02	K 			31.3 	+/- 5 % 	mJy 	 	+/- 1.56E-03 	Jy 	1983ApJ...272..400H
  115    1.35E+14 	3.63E-02	K (Johnson) 		0.036 	+/- 0.0014 	Jy 	 	+/- 1.40E-03 	Jy 	1981MNRAS.197..627B
  116    1.35E+14 	8.40E-02	K (Johnson) 		9.75 	+/- 0.08 	mag 	 	+/- 6.42E-03 	Jy 	1976ApJ...207..367A
  117    1.35E+14 	5.65E-02	K (Johnson) 		10.18 	+/- 0.05 	mag 	 	+/- 2.66E-03 	Jy 	1976ApJ...207..367A
  118    1.35E+14 	4.70E-02	2.22 microns	 	0.047 	+/- 0.002 	Jy 	 	+/- 2.00E-03 	Jy 	1976PASP...88..870J
  119    1.35E+14 	1.30E-02	2.2 microns 		0.013 	... 		Jy 	 	... 		Jy 	1977ApJ...218L..37R
  120    1.31E+14 	5.48E-02	K (Mt. Lemmon) 		54.8 	+/- 0.8 	mJy 	 	+/- 8.00E-04 	Jy 	1983PASP...95..724S
  121    1.31E+14 	4.82E-02	K (Mt. Lemmon) 		10.22 	+/- 0.05 	mag 	 	+/- 2.27E-03 	Jy 	1978ApJ...224...22O
  122    1.31E+14 	4.73E-02	K 			10.24 	+/- 0.04 	mag 	 	+/- 1.78E-03 	Jy 	1978ApJS...38..267O
  123    1.31E+14 	4.40E-02	K (Mt. Lemmon) 		0.044 	+/- 0.002 	Jy 	 	+/- 2.00E-03 	Jy 	1980ApJ...237..331P
  124    1.31E+14 	4.39E-02	K		 	10.32 	+/- 0.06 	mag 	 	+/- 2.50E-03 	Jy 	1978ApJS...38..267O
  125    8.69E+13 	4.80E-02	3.45 microns 		0.048 	+/- 0.004 	Jy 	 	+/- 4.00E-03 	Jy 	1976PASP...88..870J
  126    8.57E+13 	4.65E-02	L (Mt. Lemmon) 		46.5 	+/- 5.3 	mJy 	 	+/- 5.30E-03 	Jy 	1983PASP...95..724S
  127    8.57E+13 	4.90E-02	L (Mt. Lemmon) 		49.0 	+/- 0.4 	mJy 	 	+/- 4.00E-04 	Jy 	1983PASP...95..724S
  128    8.57E+13 	4.60E-02	L (Mt. Lemmon) 		9.46 	+/- 0.25 	mag 	 	+/- 1.19E-02 	Jy 	1978ApJ...224...22O
  129    8.57E+13 	5.24E-02	L 			9.32 	+/- 0.22 	mag 	 	+/- 1.18E-02 	Jy 	1978ApJS...38..267O
  130    8.57E+13 	4.28E-02	L 			9.54 	+/- 0.15 	mag 	 	+/- 6.34E-03 	Jy 	1978ApJS...38..267O
  131    8.47E+13 	7.93E-02	L (Johnson) 		8.90 	+/- 0.36 	mag 	 	+/- 3.12E-02 	Jy 	1976ApJ...207..367A
  132    8.47E+13 	5.19E-02	L (Johnson) 		9.36 	+/- 0.06 	mag 	 	+/- 2.95E-03 	Jy 	1976ApJ...207..367A
  133    6.38E+13 	-0.66		4.7 microns 		... 	<0.66 		Jy 		< 6.60E-02 	Jy 	1976PASP...88..870J
  134    3.57E+13 	-4.7		8.4 microns 		... 	>4.7 		mag 		< 7.12E-01 	Jy 	1976ApJ...207..367A
  135    2.97E+13 	1.08E-01	N 			108 	+/- 24 		mJy 	 	+/- 2.40E-02 	Jy 	1983PASP...95..724S
  136    2.97E+13 	3.30E-02	N 			33 	+/- 7 		mJy 	 	+/- 7.00E-03 	Jy 	1983ApJ...272..400H
  137    2.86E+13 	2.70E-02	10.6 microns 		0.027 	... 		Jy 	 	... 		Jy 	1977ApJ...218L..37R
  138    2.86E+13 	-0.26		10.5 microns 		... 	<0.26 		Jy 		< 2.60E-02 	Jy 	1976PASP...88..870J
  139    2.83E+13 	9.70E-02	10.6 microns 		0.097 	+/- 0.016 	Jy 	 	+/- 1.60E-02 	Jy 	1975ApJ...198..261U
  140    2.50E+13 	9.00E-02	IRAS 12 microns 	90.0 	+/- 15.0 	mJy 	 	+/- 1.50E-02 	Jy 	1988AJ.....95..307I
