# INPUT : tev01_wrbr_hfreb2_pca_5_23_32
# LabelHelper : tp
#   xtt         xtt1       xtt2       dtt        rt       ert          rx       erx      nx       rxmin        rxmax
# 
  375852.10  375012.10  376692.10   1680.0     1.3321    0.2057     54.0906    1.1954    53    51.6676      56.9701
  377541.22  376701.22  378381.22   1680.0     2.0686    0.2252     55.2053    1.1507     8    53.0570      57.1657
  425870.01  424970.02  426769.99   1800.0     3.7516    0.3537    128.1709    7.4155    28   112.9647     139.0044
  427614.08  426712.88  428515.27   1802.4     3.6963    0.3657    109.8758    2.7249    54   105.3903     116.5626
  429471.76  428571.95  430371.58   1799.6     3.4231    0.3335    115.9149    3.0104    20   109.2159     120.0692
  431270.44  430370.97  432169.90   1798.9     3.6355    0.3345    136.4110    1.5937    17   134.0886     141.3146
  433062.37  432174.18  433950.56   1776.4     3.4171    0.3262    129.1345    7.3162    56   118.2939     142.2971
  434904.85  434005.00  435804.71   1799.7     3.7634    0.3397    131.0368    4.7188    29   123.8951     138.6937
  436703.96  435804.02  437603.90   1799.9     3.9232    0.3386    147.5318    2.4191     8   144.0562     150.7159
  438501.25  437601.57  439400.94   1799.4     4.1434    0.3523    144.2717    5.9939    56   135.1597     157.2143
  440303.21  439392.30  441214.13   1821.8     3.9080    0.3545    144.9455    2.5395    34   139.7364     150.1878
  441376.56  441222.08  441531.05    309.0     4.5259    0.9623      0.0100    0.0001     0     0.0100       0.0100
  455587.20  454747.20  456427.20   1680.0     2.1024    0.1584     73.6066    1.9521    52    69.4300      77.9420
  457285.82  456445.82  458125.82   1680.0     1.1896    0.1528     71.5339    1.5140    16    68.4589      73.8786
  458975.81  458135.81  459815.81   1680.0     1.8267    0.1699      0.0100    0.0001     0     0.0100       0.0100
  460664.06  459824.06  461504.06   1680.0     1.7002    0.1772     72.7057    1.5713    39    69.3015      77.5335
  462468.10  461628.10  463308.10   1680.0     1.8685    0.1887     72.6847    2.4225    38    67.6135      77.4982
  512464.15  511833.21  513095.08   1261.9     2.4350    0.4837     63.0013    1.4090     9    60.4114      65.3554
  519713.02  518813.12  520612.92   1799.8     2.1937    0.3135     53.6460    6.1096    56    46.1171      65.8456
  521512.39  520612.40  522412.37   1800.0     2.5027    0.3166     65.6378    0.9737     7    64.0558      67.1542
  523310.54  522411.77  524209.32   1797.5     2.0997    0.3306     62.5276    2.3155    30    58.8474      66.1341
  525144.56  524182.19  526106.92   1924.7     2.2669    0.3327     62.8504    2.3738    29    55.8154      68.7901
  527033.09  526133.45  527932.73   1799.3     1.6428    0.3643      0.0100    0.0001     0     0.0100       0.0100
  528636.93  528127.78  529146.09   1018.3     1.2037    0.9202      0.0100    0.0001     0     0.0100       0.0100
  537973.06  537133.06  538813.06   1680.0     1.6665    0.1675      0.0100    0.0001     0     0.0100       0.0100
  539660.45  538820.45  540500.45   1680.0     2.3984    0.1698      0.0100    0.0001     0     0.0100       0.0100
  541509.41  540669.41  542349.41   1680.0     3.1277    0.1725    107.4746    2.2421    20   103.7112     112.9127
  543219.26  542379.26  544059.26   1680.0     2.9728    0.1613    105.0628    1.8640    14   101.3700     107.7103
